Object,M,a,Epsilon,Theta,Beta,R,T_rot,P
Sun,332837,,,,,109.123,,
Mercury,0.055,0.387,0.21,,7,0.383,58.646,0.241
Venus,0.815,0.723,0.01,,3.39,0.949,243.018,0.615
Earth,1,1,0.02,,0,1,0.997,1
Mars,0.107,1.523,0.09,,1.85,0.533,1.026,1.881
Jupiter,317.85,5.202,0.05,,1.31,11.209,0.413,11.861
Saturn,95.159,9.576,0.06,,2.49,9.449,0.444,29.628
Uranus,14.5,19.293,0.05,,0.77,4.007,0.718,84.747
Neptune,17.204,30.246,0.01,,1.77,3.883,0.671,166.344
Pluto,0.003,39.509,0.25,,17.5,0.187,6.387,248.348
